Designator,Mid X,Mid Y,Rotation,Layer
C1,79.788,-135.1,0.0,top
C2,71.3,-116.7235,270.0,top
C3,89.045449,-122.266089,180.0,top
C4,74.1,-112.9,0.0,top
D1,75.688,-125.2,0.0,top
D2,105.433,-128.143,270.0,top
D3,81.088,-125.2,0.0,top
D4,101.14,-105.545,180.0,top
F1,94.05,-134.66,90.0,top
J1,101.475,-146.85,0.0,top
J2,82.38,-147.7,180.0,top
R1,86.588,-128.98,0.0,top
R2,81.161332,-128.98,0.0,top
R3,75.734666,-128.98,0.0,top
R4,71.638,-127.65,90.0,top
R5,74.15,-119.9735,180.0,top
R6,71.3,-112.6,90.0,top
R7,81.2,-120.0,0.0,top
R8,78.8,-116.7235,270.0,top
R9,77.0,-116.7235,270.0,top
RV1,89.022,-105.733528,90.0,top
TH1,68.077366,-120.8,180.0,top
U1,74.1375,-116.7735,270.0,top
